Pixel,WL,Used,ADC(1)
126,484.5,1,4372.727273
127,484.75,1,4132.231405
128,485,1,4149.586777
129,485.25,1,4223.140496
130,485.5,1,4247.933884
131,485.75,1,4105.785124
132,486,1,4146.280992
133,486.25,1,4188.429752
134,486.5,1,4176.033058
135,486.75,1,4166.115702
136,487,1,4306.61157
137,487.25,1,4095.041322
138,487.5,1,4048.760331
139,487.75,1,3896.694215
140,488,1,3956.198347
141,488.25,1,3974.380165
142,488.5,1,3761.157025
143,488.75,1,3692.561983
144,489,1,3729.752066
145,489.25,1,3700.826446
146,489.5,1,3682.644628
147,489.75,1,3690.909091
148,490,1,3795.041322
149,490.217,1,3704.958678
150,490.435,1,3659.504132
151,490.652,1,3519.834711
152,490.87,1,3467.768595
153,491.087,1,3432.231405
154,491.304,1,3384.297521
155,491.522,1,3144.628099
156,491.739,1,2978.512397
157,491.957,1,3109.917355
158,492.174,1,3498.347107
159,492.391,1,3097.520661
160,492.609,1,2956.198347
161,492.826,1,2811.570248
162,493.044,1,2706.61157
163,493.261,1,2779.338843
164,493.478,1,2557.024793
165,493.696,1,2811.570248
166,493.913,1,2676.033058
167,494.13,1,2558.677686
168,494.348,1,2655.371901
169,494.565,1,2610.743802
170,494.783,1,2448.760331
171,495,1,2204.958678
172,495.217,1,2261.157025
173,495.435,1,2281.818182
174,495.652,1,2245.454545
175,495.87,1,2233.057851
176,496.087,1,2043.801653
177,496.304,1,2041.322314
178,496.522,1,2134.710744
179,496.739,1,2042.14876
180,496.957,1,1607.438017
181,497.174,1,1823.140496
182,497.391,1,1942.975207
183,497.609,1,1761.157025
184,497.826,1,1721.487603
185,498.044,1,1604.132231
186,498.261,1,1586.77686
187,498.478,1,1742.14876
188,498.696,1,1585.950413
189,498.913,1,1458.677686
190,499.13,1,1403.305785
191,499.348,1,1406.61157
192,499.565,1,1341.322314
193,499.783,1,1225.619835
194,500,1,1186.77686
195,500.27,1,1139.669421
196,500.541,1,1334.710744
197,500.811,1,1109.917355
198,501.081,1,1040.495868
199,501.351,1,1016.528926
200,501.622,1,819.8347107
201,501.892,1,887.6033058
202,502.162,1,795.8677686
203,502.432,1,906.6115702
204,502.703,1,981.8181818
205,502.973,1,924.7933884
206,503.243,1,821.4876033
207,503.514,1,680.1652893
208,503.784,1,829.7520661
209,504.054,1,664.4628099
210,504.324,1,656.1983471
211,504.595,1,750.4132231
212,504.865,1,641.322314
213,505.135,1,483.4710744
214,505.405,1,627.2727273
215,505.676,1,713.2231405
216,505.946,1,642.1487603
217,506.216,1,566.1157025
218,506.487,1,551.2396694
219,506.757,1,460.3305785
220,507.027,1,556.1983471
221,507.297,1,486.7768595
222,507.568,1,417.3553719
223,507.838,1,551.2396694
224,508.108,1,433.8842975
225,508.378,1,495.8677686
226,508.649,1,512.3966942
227,508.919,1,516.5289256
228,509.189,1,460.3305785
229,509.46,1,410.7438017
230,509.73,1,446.2809917
