Pixel,WL,Used,ADC(1)
444,569.412,1,295
445,569.706,1,346
446,570,1,243
447,570.27,1,170
448,570.541,1,248
449,570.811,1,344
450,571.081,1,330
451,571.351,1,207
452,571.622,1,487
453,571.892,1,98
454,572.162,1,280
455,572.432,1,176
456,572.703,1,165
457,572.973,1,226
458,573.243,1,76
459,573.514,1,169
460,573.784,1,204
461,574.054,1,204
462,574.324,1,314
463,574.595,1,167
464,574.865,1,372
465,575.135,1,203
466,575.405,1,245
467,575.676,1,322
468,575.946,1,170
469,576.216,1,243
470,576.487,1,323
471,576.757,1,350
472,577.027,1,328
473,577.297,1,330
474,577.568,1,282
475,577.838,1,244
476,578.108,1,424
477,578.378,1,198
478,578.649,1,286
479,578.919,1,348
480,579.189,1,312
481,579.46,1,389
482,579.73,1,397
483,580,1,318
484,580.323,1,370
485,580.645,1,269
486,580.968,1,230
487,581.29,1,425
488,581.613,1,392
489,581.936,1,272
490,582.258,1,280
491,582.581,1,326
492,582.903,1,345
493,583.226,1,356
494,583.548,1,268
495,583.871,1,127
496,584.194,1,246
497,584.516,1,219
498,584.839,1,175
499,585.161,1,397
500,585.484,1,236
501,585.807,1,187
502,586.129,1,288
503,586.452,1,260
504,586.774,1,208
505,587.097,1,142
506,587.419,1,204
507,587.742,1,208
508,588.065,1,334
509,588.387,1,282
510,588.71,1,241
511,589.032,1,408
512,589.355,1,324
513,589.677,1,358
514,590,1,247
515,590.263,1,251
516,590.526,1,398
517,590.79,1,247
518,591.053,1,418
519,591.316,1,383
520,591.579,1,452
521,591.842,1,500
522,592.105,1,290
523,592.368,1,325
524,592.632,1,375
525,592.895,1,406
526,593.158,1,284
527,593.421,1,373
528,593.684,1,391
529,593.947,1,427
530,594.211,1,433
531,594.474,1,435
532,594.737,1,474
533,595,1,448
534,595.263,1,262
535,595.526,1,397
536,595.79,1,350
537,596.053,1,419
538,596.316,1,330
539,596.579,1,358
540,596.842,1,407
541,597.105,1,449
542,597.368,1,396
543,597.632,1,435
544,597.895,1,414
545,598.158,1,406
546,598.421,1,258
547,598.684,1,385
548,598.947,1,396
549,599.211,1,460
550,599.474,1,416
551,599.737,1,285
552,600,1,358
553,600.286,1,229
554,600.571,1,184
555,600.857,1,294
556,601.143,1,248
557,601.429,1,510
558,601.714,1,302
559,602,1,370
560,602.286,1,461
561,602.571,1,399
562,602.857,1,452
563,603.143,1,510
564,603.429,1,324
565,603.714,1,383
566,604,1,572
567,604.286,1,644
568,604.571,1,458
569,604.857,1,628
570,605.143,1,495
571,605.429,1,589
572,605.714,1,496
573,606,1,436
574,606.286,1,570
575,606.571,1,515
576,606.857,1,514
577,607.143,1,620
578,607.429,1,503
579,607.714,1,723
580,608,1,582
581,608.286,1,720
582,608.571,1,538
583,608.857,1,615
584,609.143,1,644
585,609.429,1,499
586,609.714,1,592
587,610,1,656
588,610.294,1,632
589,610.588,1,560
590,610.882,1,681
591,611.177,1,687
592,611.471,1,615
593,611.765,1,689
594,612.059,1,553
595,612.353,1,648
596,612.647,1,598
597,612.941,1,450
598,613.235,1,643
599,613.529,1,806
600,613.824,1,626
601,614.118,1,649
602,614.412,1,564
603,614.706,1,570
604,615,1,670
605,615.294,1,598
606,615.588,1,531
607,615.882,1,620
608,616.177,1,689
609,616.471,1,664
610,616.765,1,606
611,617.059,1,777
612,617.353,1,644
613,617.647,1,476
614,617.941,1,583
615,618.235,1,567
616,618.529,1,660
617,618.824,1,768
618,619.118,1,478
619,619.412,1,621
620,619.706,1,637
621,620,1,573
622,620.238,1,596
623,620.476,1,574
624,620.714,1,646
625,620.952,1,706
626,621.191,1,640
627,621.429,1,571
628,621.667,1,714
629,621.905,1,705
630,622.143,1,627
631,622.381,1,727
632,622.619,1,556
633,622.857,1,598
634,623.095,1,485
635,623.333,1,679
636,623.571,1,698
637,623.81,1,588
638,624.048,1,696
639,624.286,1,668
640,624.524,1,679
641,624.762,1,667
642,625,1,520
643,625.238,1,577
644,625.476,1,662
645,625.714,1,588
646,625.952,1,616
647,626.191,1,755
648,626.429,1,713
649,626.667,1,721
650,626.905,1,698
651,627.143,1,573
652,627.381,1,647
653,627.619,1,666
654,627.857,1,676
655,628.095,1,587
656,628.333,1,562
657,628.571,1,600
658,628.81,1,684
659,629.048,1,791
660,629.286,1,680
661,629.524,1,644
662,629.762,1,690
663,630,1,563
664,630.323,1,722
665,630.645,1,658
666,630.968,1,671
667,631.29,1,754
668,631.613,1,730
669,631.936,1,621
670,632.258,1,731
671,632.581,1,818
672,632.903,1,652
673,633.226,1,665
674,633.548,1,743
675,633.871,1,675
676,634.194,1,728
677,634.516,1,664
678,634.839,1,758
679,635.161,1,815
680,635.484,1,759
681,635.807,1,764
682,636.129,1,630
683,636.452,1,744
684,636.774,1,862
685,637.097,1,732
686,637.419,1,970
687,637.742,1,637
688,638.065,1,820
689,638.387,1,740
690,638.71,1,764
691,639.032,1,831
692,639.355,1,693
693,639.677,1,668
694,640,1,746
695,640.27,1,818
696,640.541,1,939
697,640.811,1,674
698,641.081,1,901
699,641.351,1,866
700,641.622,1,853
701,641.892,1,798
702,642.162,1,756
703,642.432,1,843
704,642.703,1,821
705,642.973,1,1024
706,643.243,1,879
707,643.514,1,907
708,643.784,1,1091
709,644.054,1,869
710,644.324,1,1026
711,644.595,1,868
712,644.865,1,890
713,645.135,1,827
714,645.405,1,752
715,645.676,1,945
716,645.946,1,1090
717,646.216,1,972
718,646.487,1,1136
719,646.757,1,980
720,647.027,1,1064
721,647.297,1,1047
722,647.568,1,1039
723,647.838,1,990
724,648.108,1,956
725,648.378,1,997
726,648.649,1,960
727,648.919,1,1144
728,649.189,1,1163
729,649.46,1,1126
730,649.73,1,981
731,650,1,979
732,650.294,1,1136
733,650.588,1,1058
734,650.882,1,1204
735,651.177,1,1043
736,651.471,1,1031
737,651.765,1,1188
738,652.059,1,1032
739,652.353,1,1131
740,652.647,1,1291
741,652.941,1,1002
742,653.235,1,1108
743,653.529,1,1210
744,653.824,1,1127
745,654.118,1,1196
746,654.412,1,1254
747,654.706,1,1187
748,655,1,1345
749,655.294,1,1202
750,655.588,1,1315
751,655.882,1,1159
